Id,name,location,time,cost,services
bf6ad8e8-6351-4996-b96f-c274c6b5eb0c,Tour 6N5Đ Mỹ Tho honeymoon,Mỹ Tho,6N5Đ,5293000,"Buffet sáng, Bảo hiểm du lịch, Hướng dẫn viên, Khách sạn 3*, Khách sạn 4*, Nước suối mỗi ngày, Xe du lịch, Xe đưa đón, Ảnh kỷ niệm"
a8e57e8e-9d15-4649-8e0f-028c3ea55822,Tour 6N5Đ Lạng Sơn biển đảo,Lạng Sơn,6N5Đ,6220000,"1 bữa hải sản, Bảo hiểm du lịch, Hướng dẫn viên, Khách sạn 3*, Vé tham quan, Xe du lịch, Ăn sáng hàng ngày"
392dc0c5-292a-4a06-bd4f-170dbeb32a11,Tour 3N2Đ Đà Nẵng biển đảo,Đà Nẵng,3N2Đ,6763000,"1 bữa hải sản, Bảo hiểm du lịch, Hướng dẫn viên, Khách sạn 4*, Miễn phí xe đạp, Nước suối mỗi ngày, Vé tham quan, Xe du lịch, Ảnh kỷ niệm"
486cbd00-7e02-44bc-ad36-0fd7bcf7b07b,Tour 4N3Đ Bến Tre gia đình,Bến Tre,4N3Đ,4800000,"1 bữa hải sản, Hướng dẫn viên, Kayak/đi thuyền, Khách sạn 4*, Nước suối mỗi ngày, Xe du lịch, Ăn sáng hàng ngày"
201307c9-51e9-4f35-be89-7b113326827e,Tour 5N4Đ Tam Đảo núi rừng,Tam Đảo,5N4Đ,4425000,"Buffet sáng, Bảo hiểm du lịch, Khách sạn 3*, Nước suối mỗi ngày, Vé tham quan, Xe du lịch"
e45b7045-0642-40a1-ab55-591e4ba441d8,Tour 5N4Đ Yên Bái gia đình,Yên Bái,5N4Đ,6190000,"1 bữa hải sản, Hướng dẫn viên, Khách sạn 4*, Nước suối mỗi ngày, Vé tham quan, Xe du lịch, Ăn sáng hàng ngày, Ảnh kỷ niệm"
4c1ff844-b3d0-42f7-bb61-ed0157c0c7a3,Tour 2N1Đ Pleiku gia đình,Pleiku,2N1Đ,6179000,"1 bữa hải sản, Khách sạn 3*, Khách sạn 4*, Vé máy bay khứ hồi, Vé tham quan, Xe đón tiễn sân bay, Ăn sáng hàng ngày"
6464bb1c-cbfc-41b6-b3f6-0faaa268bb29,Tour 3N2Đ Cà Mau ẩm thực,Cà Mau,3N2Đ,3576000,"Bảo hiểm du lịch, Miễn phí xe đạp, Vé máy bay khứ hồi, Vé tham quan, Xe đón tiễn sân bay, Ăn sáng hàng ngày"
1440e265-90cd-4b82-a9bb-451ae9df4913,Tour 2N1Đ Hội An nghỉ dưỡng,Hội An,2N1Đ,7125000,"1 bữa hải sản, Hướng dẫn viên, Kayak/đi thuyền, Khách sạn 3*, Khách sạn 4*, Spa 30 phút, Vé tham quan, Xe du lịch, Xe đưa đón, Ăn sáng hàng ngày"
0b6d1911-1b98-48f0-9042-5951788d605a,Tour 3N2Đ Hạ Long honeymoon,Hạ Long,3N2Đ,2883000,"Buffet sáng, Bảo hiểm du lịch, Hướng dẫn viên, Khách sạn 3*, Vé tham quan, Xe du lịch, Xe đưa đón, Ăn sáng hàng ngày"
